mode,timestamp_ns,time_from_start_s,latency_ms
INT8,1779097388330135035,20.371513869,31.805
INT8,1779097388459619506,20.500998340000002,43.559
INT8,1779097388516655298,20.558034132,34.922
INT8,1779097388634844479,20.676223313,31.216
INT8,1779097388770158784,20.811537618000003,40.463
INT8,1779097388871566508,20.912945342,40.346
INT8,1779097388923004680,20.964383514,37.053
INT8,1779097389056082293,21.097461127000003,39.1
INT8,1779097389144671289,21.186050123,37.196
INT8,1779097389221483556,21.262862390000002,34.83
INT8,1779097389320802674,21.362181508000003,36.936
INT8,1779097389447721025,21.489099859000003,39.006
INT8,1779097389524830532,21.566209366000002,35.321
INT8,1779097389617953791,21.659332625,34.708
INT8,1779097389736336743,21.777715577000002,40.641
INT8,1779097389816268308,21.857647142,33.645
INT8,1779097389915848919,21.957227753,35.073
INT8,1779097390026259291,22.067638125000002,34.385
INT8,1779097390124430886,22.165809720000002,36.566
INT8,1779097390216626619,22.258005453000003,32.985
INT8,1779097390358725043,22.400103877000003,45.733
INT8,1779097390420694293,22.462073127,35.402
INT8,1779097390536841876,22.57822071,38.475
INT8,1779097390660516485,22.701895319000002,41.79
INT8,1779097390757744629,22.799123463,40.541
INT8,1779097390820017145,22.861395979,34.337
INT8,1779097390922702320,22.964081154000002,32.46
INT8,1779097391031810875,23.073189709,34.653
INT8,1779097391136144233,23.177523067000003,33.572
INT8,1779097391225336442,23.266715276000003,34.674
INT8,1779097391341049011,23.382427845000002,34.485
INT8,1779097391421755410,23.463134244000003,33.45
INT8,1779097391535932601,23.577311435000002,33.069
INT8,1779097391633203686,23.67458252,33.267
INT8,1779097391738162525,23.779541359000003,34.281
INT8,1779097391860076786,23.90145562,34.428
INT8,1779097391938102344,23.979481178,35.22
INT8,1779097392018400380,24.059779214000002,36.245
INT8,1779097392148860380,24.190239214,35.324
INT8,1779097392235485097,24.276863931,34.955
INT8,1779097392347869656,24.38924849,32.997
INT8,1779097392447920589,24.489299423000002,38.367
INT8,1779097392528070370,24.569449204,34.4
INT8,1779097392634096340,24.675475174000002,33.258
INT8,1779097392751304038,24.792682872,36.31
INT8,1779097392818651416,24.86003025,33.118
INT8,1779097392933840271,24.975219105,31.112
INT8,1779097393022105789,25.063484623,34.989
INT8,1779097393145289588,25.186668422,37.503
INT8,1779097393237309455,25.278688289,32.933
INT8,1779097393331960543,25.373339377,32.834
INT8,1779097393427007800,25.468386634,33.198
INT8,1779097393521341548,25.562720382000002,36.444
INT8,1779097393636959698,25.678338532,34.276
INT8,1779097393727105230,25.768484064000003,32.516
INT8,1779097393815593970,25.856972804,33.281
INT8,1779097393928052648,25.969431482,33.732
INT8,1779097394032890085,26.074268919,31.968
INT8,1779097394123922282,26.165301116000002,32.139
INT8,1779097394217296062,26.258674896000002,36.634
INT8,1779097394318257434,26.359636268000003,34.953
INT8,1779097394440459286,26.481838120000003,33.066
INT8,1779097394542985355,26.584364189000002,40.491
INT8,1779097394636252803,26.677631637,31.782
INT8,1779097394736284155,26.777662989000003,33.199
INT8,1779097394823308995,26.864687829,32.741
INT8,1779097394917576803,26.958955637000003,32.476
INT8,1779097395008673630,27.050052464,32.832
INT8,1779097395108784707,27.150163541,31.398
INT8,1779097395231529180,27.272908014000002,32.352
INT8,1779097395324012626,27.36539146,35.344
INT8,1779097395412911018,27.454289852000002,32.447
INT8,1779097395527897673,27.569276507,31.658
INT8,1779097395663400917,27.704779751,33.211
INT8,1779097395754211275,27.795590109000003,39.83
INT8,1779097395822255328,27.863634162,34.296
INT8,1779097395922434244,27.963813078,37.165
INT8,1779097396014861403,28.056240237,31.511
INT8,1779097396134329032,28.175707866000003,35.357
INT8,1779097396232356791,28.273735625,32.096
INT8,1779097396340094291,28.381473125000003,32.099
INT8,1779097396445836103,28.487214937,35.654
INT8,1779097396514958591,28.556337425000002,33.344
INT8,1779097396658292535,28.699671369,46.911
INT8,1779097396729843164,28.771221998,33.064
INT8,1779097396820750826,28.86212966,32.823
INT8,1779097396953043508,28.994422342000004,41.425
INT8,1779097397024740103,29.066118937000002,34.929
INT8,1779097397118049723,29.159428557000002,34.064
INT8,1779097397224489614,29.265868448000003,34.665
INT8,1779097397322698073,29.364076907,33.805
INT8,1779097397430545338,29.471924172,33.797
INT8,1779097397532276310,29.573655144000004,33.013
INT8,1779097397615395548,29.656774382000002,37.391
INT8,1779097397728290021,29.769668855000003,32.28
INT8,1779097397833851147,29.875229981,33.516
INT8,1779097397917864587,29.959243421000004,34.659
INT8,1779097398010103204,30.051482038000003,34.132
INT8,1779097398122781773,30.164160607000003,33.551
INT8,1779097398243158939,30.284537773,39.622
INT8,1779097398343469552,30.384848386,39.707
INT8,1779097398416598343,30.457977177000004,33.652
INT8,1779097398506463289,30.547842123000002,31.826
INT8,1779097398616125101,30.657503935,32.61
INT8,1779097398728448426,30.769827260000003,31.45
INT8,1779097398846994315,30.888373149000003,36.2
INT8,1779097398934142703,30.975521537000002,31.028
INT8,1779097399055490954,31.096869788000003,41.46
INT8,1779097399140402818,31.181781652,34.708
INT8,1779097399234689162,31.276067996000002,34.452
INT8,1779097399345621034,31.386999868,37.901
INT8,1779097399425121634,31.466500468000003,35.237
INT8,1779097399523151841,31.564530675,36.764
INT8,1779097399650077503,31.691456337,42.932
INT8,1779097399713331547,31.754710381000002,33.977
INT8,1779097399817901104,31.859279938,36.918
INT8,1779097399918505334,31.959884168000002,36.228
INT8,1779097400014811545,32.056190379,35.354
INT8,1779097400126758720,32.168137554000005,34.504
INT8,1779097400218792377,32.260171211,36.136
INT8,1779097400331340700,32.372719534000005,32.02
INT8,1779097400412689715,32.454068549,34.725
INT8,1779097400537680732,32.579059566000005,34.254
INT8,1779097400620505176,32.66188401,33.034
INT8,1779097400723214333,32.764593167,35.087
INT8,1779097400844379172,32.885758006,36.988
INT8,1779097400922009085,32.963387919,33.409
INT8,1779097401025594139,33.066972973,32.811
INT8,1779097401137125560,33.178504394,34.032
INT8,1779097401222393973,33.263772807,33.193
INT8,1779097401338794165,33.380172999,32.22
INT8,1779097401419552487,33.460931321000004,34.243
INT8,1779097401519183539,33.560562373,35.205
INT8,1779097401636289249,33.677668083,32.957
INT8,1779097401753640781,33.795019615,43.843
INT8,1779097401833476115,33.874854949,34.876
INT8,1779097401933495565,33.974874399,33.539
INT8,1779097402013666078,34.055044912,32.477
INT8,1779097402169177256,34.210556090000004,43.711
INT8,1779097402234937176,34.27631601,33.828
INT8,1779097402331470987,34.372849821,32.178
INT8,1779097402419906141,34.461284975000005,34.382
INT8,1779097402525851592,34.567230426,33.23
INT8,1779097402620793844,34.662172678000005,33.387
INT8,1779097402720731630,34.762110464,34.977
INT8,1779097402820234580,34.861613414000004,34.052
INT8,1779097402931379480,34.972758314000004,34.519
INT8,1779097403045396216,35.08677505,38.368
INT8,1779097403121063557,35.162442391,33.416
INT8,1779097403213473401,35.254852235,33.975
INT8,1779097403312649117,35.354027951,32.213
INT8,1779097403414721663,35.456100497,32.672
INT8,1779097403524737181,35.566116015000006,35.333
INT8,1779097403609879130,35.651257964,33.263
INT8,1779097403714529358,35.755908192,33.856
INT8,1779097403826979451,35.868358285,33.847
INT8,1779097403920822302,35.962201136000004,31.974
INT8,1779097404037663583,36.079042417000004,34.35
INT8,1779097404148340575,36.189719409000006,34.674
INT8,1779097404245035555,36.286414389,34.048
INT8,1779097404329762642,36.371141476000005,33.395
INT8,1779097404418999381,36.460378215000006,34.866
INT8,1779097404517121462,36.558500296000005,33.182
INT8,1779097404617790360,36.659169194,32.428
INT8,1779097404725134810,36.766513644,32.643
INT8,1779097404860571373,36.901950207000006,35.168
INT8,1779097404928815116,36.97019395,35.711
INT8,1779097405049150918,37.090529752,36.938
INT8,1779097405128864026,37.17024286,38.628
INT8,1779097405229663010,37.271041844,32.849
INT8,1779097405312434861,37.353813695,32.757
INT8,1779097405455898240,37.497277074,35.61
INT8,1779097405517369027,37.558747861,32.818
INT8,1779097405625938143,37.667316977000006,33.59
INT8,1779097405714962620,37.756341454,32.882
INT8,1779097405819063307,37.860442141,34.215
INT8,1779097405920548934,37.961927768,31.247
INT8,1779097406023000944,38.064379778,32.615
INT8,1779097406117545109,38.158923943000005,34.713
INT8,1779097406212362115,38.253740949000004,34.959
INT8,1779097406343027174,38.384406008,37.053
INT8,1779097406427212683,38.468591517,35.842
INT8,1779097406555182171,38.596561005000005,41.961
INT8,1779097406631079224,38.672458058000004,32.046
INT8,1779097406736515900,38.777894734,32.061
INT8,1779097406827834331,38.869213165000005,33.967
INT8,1779097406915276596,38.956655430000005,35.296
INT8,1779097407028754871,39.070133705,33.351
INT8,1779097407127284942,39.168663776,33.439
INT8,1779097407213539289,39.254918123,33.969
INT8,1779097407326601297,39.367980131,34.079
INT8,1779097407450539756,39.491918590000004,38.554
INT8,1779097407530912002,39.572290836,31.801
INT8,1779097407679154711,39.720533545,44.197
INT8,1779097407726395814,39.767774648,32.912
INT8,1779097407822989442,39.864368276,34.386
INT8,1779097407944308334,39.985687168000005,34.042
INT8,1779097408024536457,40.065915291,33.627
INT8,1779097408118673334,40.160052168,34.263
INT8,1779097408232220961,40.273599795,33.655
INT8,1779097408324080338,40.365459172,33.655
INT8,1779097408437651201,40.479030035,33.632
INT8,1779097408555081218,40.596460052000005,36.17
INT8,1779097408648718577,40.690097411,35.416
INT8,1779097408730227438,40.771606272,33.919
INT8,1779097408856627179,40.898006013,41.19
INT8,1779097408945506191,40.986885025,34.448
INT8,1779097409033453248,41.074832082,32.57
INT8,1779097409129370553,41.170749387,37.016
INT8,1779097409220540811,41.261919645000006,32.125
INT8,1779097409314889262,41.356268096,33.616
INT8,1779097409438729686,41.48010852,32.234
INT8,1779097409534387398,41.575766232,34.94
INT8,1779097409624802165,41.666180999000005,36.777
INT8,1779097409742103545,41.783482379000006,34.778
INT8,1779097409818187352,41.859566186,32.775
INT8,1779097409920954578,41.962333412,34.617
INT8,1779097410068043395,42.109422229,54.125
INT8,1779097410125119685,42.166498519,41.292
INT8,1779097410226259958,42.267638792,34.228
INT8,1779097410349167050,42.390545884000005,34.429
INT8,1779097410433027440,42.474406274,32.743
INT8,1779097410519190220,42.560569054000005,36.228
INT8,1779097410623653965,42.665032799,32.974
INT8,1779097410750275989,42.791654823,33.143
INT8,1779097410851671925,42.893050759000005,36.973
INT8,1779097410920148173,42.961527007,31.453
INT8,1779097411048888481,43.090267315000006,32.946
INT8,1779097411131547305,43.172926139000005,34.73
INT8,1779097411233178744,43.274557578,32.083
INT8,1779097411313473281,43.354852115,33.41
INT8,1779097411431569853,43.472948687000006,44.732
INT8,1779097411531160343,43.572539177,34.438
INT8,1779097411626248909,43.667627743000004,33.418
INT8,1779097411721318978,43.762697812000006,34.595
INT8,1779097411862654369,43.904033203000004,43.561
INT8,1779097411929148705,43.970527539,32.88
INT8,1779097412044283966,44.0856628,35.881
INT8,1779097412132131187,44.173510021000006,35.555
INT8,1779097412228610460,44.269989294000005,32.221
INT8,1779097412330149523,44.371528357,36.315
INT8,1779097412416124897,44.457503731,34.053
INT8,1779097412517020763,44.558399597000005,31.592
INT8,1779097412618906520,44.660285354,36.775
INT8,1779097412710815216,44.75219405,33.227
INT8,1779097412839096830,44.880475664,34.239
INT8,1779097412920250034,44.961628868000005,33.709
INT8,1779097413015357108,45.056735942,32.773
INT8,1779097413129264775,45.170643609,33.77
INT8,1779097413249342463,45.290721297000005,38.786
INT8,1779097413354058278,45.395437112,38.539
INT8,1779097413424640971,45.466019805,35.104
INT8,1779097413519499477,45.560878311,33.474
INT8,1779097413651907794,45.693286628,45.526
INT8,1779097413722740058,45.764118892000006,33.257
INT8,1779097413826968148,45.868346982000006,37.422
INT8,1779097413926556675,45.967935509,37.52
INT8,1779097414025200418,46.066579252000004,36.07
INT8,1779097414123763845,46.165142679000006,37.69
INT8,1779097414225866005,46.267244839,35.906
INT8,1779097414323344632,46.364723466,37.287
INT8,1779097414419081280,46.460460114,35.667
INT8,1779097414542973257,46.584352091,45.287
INT8,1779097414626356403,46.667735237,33.45
INT8,1779097414727464080,46.768842914000004,34.616
INT8,1779097414836390305,46.877769139,35.167
INT8,1779097414928390833,46.969769667,37.145
INT8,1779097415045383058,47.086761892000006,38.418
INT8,1779097415128145952,47.169524786000004,35.435
INT8,1779097415231342404,47.272721238,31.979
INT8,1779097415333998285,47.375377119,37.248
INT8,1779097415427598571,47.468977405000004,39.0
INT8,1779097415517577376,47.558956210000005,34.846
INT8,1779097415612451731,47.653830565,31.412
INT8,1779097415728798440,47.770177274000005,32.279
INT8,1779097415821723208,47.863102042,35.339
INT8,1779097415958152481,47.999531315000006,40.199
INT8,1779097416054896604,48.096275438000006,35.809
INT8,1779097416126886247,48.168265081,33.065
INT8,1779097416262460283,48.303839117,60.238
INT8,1779097416370279405,48.411658239000005,43.597
INT8,1779097416441420055,48.482798889,35.783
INT8,1779097416520727564,48.562106398000005,36.078
INT8,1779097416615593932,48.656972766,30.73
INT8,1779097416724925133,48.766303967000006,35.328
INT8,1779097416815918781,48.857297615,33.729
INT8,1779097416933519920,48.974898754,41.731
INT8,1779097417085271262,49.126650096000006,46.333
INT8,1779097417158198812,49.199577646,37.607
INT8,1779097417236106584,49.277485418000005,31.918
INT8,1779097417322787299,49.364166133000005,33.659
INT8,1779097417422041599,49.463420433,35.392
INT8,1779097417516667378,49.558046212,32.696
INT8,1779097417620093044,49.661471878,35.092
INT8,1779097417745726127,49.787104961000004,35.441
INT8,1779097417841059945,49.882438779000005,36.485
INT8,1779097417928098885,49.969477719000004,34.999
INT8,1779097418032465807,50.073844641,32.507
INT8,1779097418125147772,50.166526606000005,34.815
INT8,1779097418215249540,50.256628374,33.004
INT8,1779097418323993953,50.365372787000005,34.844
INT8,1779097418454235948,50.495614782000004,43.212
INT8,1779097418535912390,50.577291224,46.174
INT8,1779097418627883060,50.669261894,34.012
INT8,1779097418720065431,50.761444265,32.781
INT8,1779097418824423725,50.865802559,33.8
INT8,1779097418936444038,50.977822872000004,33.526
INT8,1779097419044752186,51.08613102,39.887
INT8,1779097419137085833,51.178464667,33.27
INT8,1779097419240033041,51.281411875,33.28
INT8,1779097419327429405,51.368808239,33.254
INT8,1779097419426965242,51.468344076,35.009
INT8,1779097419519752416,51.56113125,37.851
INT8,1779097419616661507,51.658040341,32.685
INT8,1779097419725306932,51.766685766,35.468
INT8,1779097419826454385,51.867833219000005,36.44
INT8,1779097419926437695,51.967816529000004,33.799
INT8,1779097420021554908,52.062933742000006,32.135
INT8,1779097420135360300,52.176739134,34.358
INT8,1779097420216759609,52.258138443,33.532
INT8,1779097420354449014,52.395827848,47.78
INT8,1779097420427264774,52.468643608,35.457
INT8,1779097420529062874,52.570441708000004,32.607
INT8,1779097420644096466,52.6854753,33.539
INT8,1779097420730083745,52.771462579,34.158
INT8,1779097420825586613,52.866965447000005,35.283
INT8,1779097420936756289,52.978135123,33.586
INT8,1779097421019760514,53.061139348000005,36.49
INT8,1779097421135166613,53.176545447,34.063
INT8,1779097421219163026,53.260541860000004,36.962
INT8,1779097421342207970,53.383586804000004,35.81
INT8,1779097421419868178,53.461247012,33.743
INT8,1779097421526154779,53.567533613,33.191
INT8,1779097421641380101,53.682758935,34.577
INT8,1779097421718317331,53.759696165,31.625
INT8,1779097421836203168,53.877582002000004,32.332
INT8,1779097421958443516,53.99982235,44.758
INT8,1779097422044125318,54.085504152000006,34.158
INT8,1779097422168223632,54.20960246600001,42.175
INT8,1779097422241530178,54.282909012000005,34.773
INT8,1779097422337400410,54.378779244,34.108
INT8,1779097422435582925,54.476961759000005,33.038
INT8,1779097422531379883,54.572758717000006,31.853
INT8,1779097422607744096,54.649122930000004,32.215
INT8,1779097422728406928,54.769785762000005,36.442
INT8,1779097422849896041,54.891274875,42.873
INT8,1779097422918611566,54.9599904,34.9
INT8,1779097423025060098,55.066438932000004,33.519
INT8,1779097423135695918,55.177074752,33.066
INT8,1779097423232615607,55.273994441000006,32.461
INT8,1779097423320225661,55.361604495,31.354
INT8,1779097423414130517,55.455509351,31.05
INT8,1779097423517431661,55.558810495,34.512
INT8,1779097423640478173,55.681857007000005,34.712
INT8,1779097423729336632,55.770715466000006,32.684
INT8,1779097423829737482,55.871116316000005,33.099
INT8,1779097423942959673,55.984338507000004,32.18
INT8,1779097424027671923,56.06905075700001,31.363
INT8,1779097424126047857,56.167426691,34.725
INT8,1779097424227829482,56.269208316000004,37.103
INT8,1779097424315269689,56.356648523000004,34.73
INT8,1779097424438691488,56.480070322,31.848
INT8,1779097424561895305,56.60327413900001,36.963
INT8,1779097424635822466,56.6772013,33.12
INT8,1779097424741514557,56.782893391,33.149
INT8,1779097424855622878,56.897001712000005,32.843
INT8,1779097424910413662,56.951792496,31.836
INT8,1779097425033089915,57.074468749000005,32.333
INT8,1779097425114958540,57.156337374,33.407
INT8,1779097425210805773,57.252184607000004,33.227
INT8,1779097425356641584,57.398020418,35.881
INT8,1779097425425468037,57.466846871,35.825
INT8,1779097425509216373,57.550595207,34.048
INT8,1779097425627938537,57.669317371000005,34.077
INT8,1779097425715715861,57.757094695000006,33.483
INT8,1779097425814808506,57.856187340000005,33.548
INT8,1779097425929629623,57.971008457,36.836
INT8,1779097426023579600,58.064958434000005,33.795
INT8,1779097426128383884,58.169762718,36.027
INT8,1779097426226644511,58.268023345,34.349
INT8,1779097426328649169,58.370028003,32.974
INT8,1779097426437509369,58.478888203000004,30.876
INT8,1779097426525857060,58.56723589400001,32.585
INT8,1779097426655307335,58.696686169,36.149
INT8,1779097426725429020,58.76680785400001,33.034
INT8,1779097426814468418,58.855847252000004,30.928
INT8,1779097426920791114,58.962169948,35.178
INT8,1779097427031735277,59.073114111,35.209
INT8,1779097427118983391,59.16036222500001,31.923
INT8,1779097427211782845,59.253161679,32.346
