metric,bag,count,mean_ms,std_ms,median_ms,min_ms,max_ms,p90_ms,p95_ms,p99_ms,fps_from_mean,avg_interval_s
preprocess_ms,2_7_opt_bag,584,5.569794520547945,2.5131086284373265,5.214,1.747,25.728,7.3083,8.905250000000002,16.913809999999994,179.53983693847687,0.09997916730017153
preprocess_ms,2_7_opt_bag_2,595,5.414163025210083,1.553850936031502,5.146,1.876,20.052,6.8798,7.4453999999999985,11.083819999999998,184.7007552863995,0.0997783661885522
preprocess_ms,2_7_opt_bag_3,594,5.639833333333333,1.7244004611274901,5.3955,2.199,19.041,7.2401,8.274750000000004,12.630700000000001,177.31020420225187,0.09990199919055649
preprocess_ms,2_7_opt_bag_slow,595,3.9597630252100844,0.7003923049389812,4.008,1.775,7.086,4.7312,4.962,5.490819999999998,252.54036507574722,0.999910204939394
postprocess_ms,2_7_bag_slow,593,1.0764502529510962,0.5632886433744012,0.96,0.493,8.184,1.5920000000000003,1.8252,3.4451600000000013,928.9792977041835,0.9998766015810812
postprocess_ms,2_7_new_plugin_bag,578,2.7573425605536332,2.4327371409256524,1.8675000000000002,0.617,18.603,5.6686000000000005,7.44005,11.99752000000003,362.6680320051401,0.10023636817850955
postprocess_ms,2_7_new_plugin_bag_2,580,2.139951724137931,1.9082341966838292,1.4144999999999999,0.596,17.717,4.277700000000001,5.608949999999999,10.223880000000005,467.30026136587037,0.09998938913644215
postprocess_ms,2_7_new_plugin_bag_3,598,2.3206070234113714,3.171419241881584,1.4575,0.591,35.166,4.188600000000002,5.621699999999997,17.857239999999944,430.9217329394987,0.09975756583417086
postprocess_ms,2_7_old_plugin_bag,598,2.4550551839464885,2.3861212572175305,1.515,0.604,20.092,4.940100000000001,7.433299999999999,12.980069999999994,407.3228196820021,0.09979525340703518
postprocess_ms,2_7_opt_bag,584,1.2354760273972603,1.7623541053307077,0.5640000000000001,0.242,19.579,2.7650000000000023,4.134400000000003,8.001769999999931,809.4046163782469,0.09997917457461407
postprocess_ms,2_7_opt_bag_2,595,0.9731394957983194,0.8910475276366063,0.584,0.245,6.668,2.04,2.6745999999999976,4.437719999999997,1027.6019052948268,0.09977836770370371
postprocess_ms,2_7_opt_bag_3,594,1.0947239057239058,1.6643216647951893,0.53,0.246,23.586,2.3444000000000003,3.05405,6.688520000000007,913.4723328607062,0.09990197986509275
postprocess_ms,2_7_opt_bag_slow,595,0.5694,0.4765707841117703,0.382,0.191,3.217,1.1738000000000002,1.6468999999999985,2.4142599999999987,1756.2346329469617,0.9999101445538721
total_ms,2_7_bag_slow,593,34.11213996627319,3.119690535573204,33.866,26.441,66.247,37.8012,39.0092,41.17084000000002,29.315076714293035,0.9998769803091215
total_ms,2_7_new_plugin_bag,578,47.409413494809684,16.101843803176518,43.046499999999995,31.66,179.276,59.97750000000002,75.55605,124.45476000000038,21.09285743662445,0.10023635162738301
total_ms,2_7_new_plugin_bag_2,580,41.895318965517234,7.146648140066515,40.424,29.781,87.379,51.4592,57.288199999999996,65.11396000000002,23.869015075958,0.09998932323143352
total_ms,2_7_new_plugin_bag_3,598,40.77107692307692,6.586491057378909,39.064,29.013,73.658,48.08860000000001,53.155049999999996,68.53168999999998,24.527191221529595,0.09975754500335009
total_ms,2_7_old_plugin_bag,598,43.80071404682275,7.062166888714128,42.277,30.196,85.125,52.7607,56.631699999999995,67.81792999999999,22.83067803257739,0.0997952539480737
total_ms,2_7_opt_bag,583,28.697785591766724,10.00565756753807,25.927,17.547,114.91,39.16200000000003,46.75829999999999,65.16783999999993,34.845894182403256,0.09996380683676977
total_ms,2_7_opt_bag_2,595,24.856178151260504,3.919126891943266,24.546,15.978,50.485,28.849200000000003,31.401899999999998,38.23297999999991,40.231446440179624,0.09977836537373738
total_ms,2_7_opt_bag_3,594,25.8301430976431,4.923627121856266,24.924500000000002,15.966,55.26,31.3457,35.3427,43.139710000000036,38.71445838374957,0.09990195919224285
total_ms,2_7_opt_bag_slow,595,20.956357983193275,2.479776641049571,20.727,15.394,37.871,23.8428,24.3646,25.92189999999983,47.718215197601936,0.9999100922609429
